1,Región de Tarapacá
2,Región de Antofagasta
3,Región de Atacama
4,Región de Coquimbo
5,Región de Valparaíso
6,Región del Libertador Gral. Bernardo O’Higgins
7,Región del Maule
8,Región del Biobío
9,Región de la Araucanía
10,Región de Los Ríos
11,Región de Los Lagos
12,Región Aisén del Gral. Carlos Ibáñez del Campo
13,Región de Magallanes y de la Antártica Chilena
14,Región Metropolitana de Santiago
15,Región de Arica y Parinacota
16,Región de Ñuble
